,polarity,tweet
61,0.125,RT AdamCozens27 I didnt know Chris Cotton but it always hurts to lose another comic His first child is due in February Please consi
62,0.05,RT emmalthorley Since its nearly Christmas and everyone is sharing their wishlists I wanna get in on it Personal Wishlist
63,0.0,RT kayskay7 Minnesota Muslim Immigrants Take On Amazon Clarion ProjectYour employer makes the rules not the employee
64,0.225,RT judehastewrite ChildrenInRead Thanks Faye for supporting ChildrenInNeed my comedy book is in the post x charitytuesday
65,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
66,0.0,RT KatieMettner Visit my Amazon author page to find all my romancenovels RomanceReaders Romancebooks Rom
67,0.0,TeamGivingCom Here is my Amazon wishlist Would appreciate anything or cash to start payin
68,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
69,0.6,RT steviedunn Our author page is looking very snazzy Whos read these objectively wonderful tales
70,0.15000000000000002,LeRoyWhitman Wow thank you SO much I saw it on Facebook and shared it on my author page oh let me know if that
71,0.275,Are there any generous stoners out there who want to give this nice Jewish girl a Hanukkah present I would LOVE a
72,0.5,RT JimSteeleAuthor I folloback amp retweet indieauthors amp whatever else trips my trigger love to or write a book JimSteeleAutho
73,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
74,0.4,RT diomedes66 1212 AVAILABLE NOW at Amazon paper book amp ebook kindle film camera available at photog
75,0.0,RT barbiesway thursdayvibesMens magazines to online sexpornfiction story based on 8 womens inputresearch amp storytellingMarriage
76,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
77,-0.2,RT MysteryTomes DEADLY CODE Returning to her island roots Rhona becomes embroiled in a deadly conspiracy Crim
78,-0.35625,It might not always mean its forever BROKEN HEART STRINGS Book 4 The Imagination
79,-0.5,Amazon driver dropped my packages containing ALL of my Christmas gifts to the wrong address After investigating on
80,0.1660894660894661,RT amazonmusic Singersongwriter CamilaCabello walked us through the recording of her new single Easy off her upcoming album Romanc
81,0.45,DANCE LOUD amp PROUD Days are getting shorter Metals in the air Darkness tuned in amp awaits dance partners This
82,0.06818181818181818,RT AFP Blue Origin the space company owned by Amazon CEO Jeff Bezos launched the 12th crewless test of its New Shepard rocket pushing
83,-0.01666666666666667,RT JolyonMaugham Its not clear to me why were giving actually giving public assets to Amazon So Ive asked the EU to force Amazon
84,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
85,0.3,RT paulcude Shall I put you out of your misery before I put you out of your misery Nonstop dragontastic action in this gripping Yo
86,1.0,RT AuthorRAndrew Perfect for your ChristmasList3 ContemporaryRomance amp adultreads in 1On Kindle NookBook iBooks Kobo Scribd
87,1.0,The best Christmas gift for a Stern fan Leno fan or just a fan of entertainment A way funnier way to spend your
88,0.25,My father Gary Wallace has been working on publishing his first book for quite some time now He just completed a
89,0.45,Just wondering hows many Amazon Gift Cards I will get for Xmas The first person to gift me will receive a nice video from mistress sue x
90,0.75,RT stacyfmitchell Even people who build successful businesses selling on Amazon or Etsy are just a tweak of the algorithm away from losin
91,0.125,AmazonHelp So this does not help The only reason why I noticed it was delivered in the first place was because
92,0.0,RT WAngelsWings With Angels WingsWEBSITE TRAILER AMAZON
93,0.0,RT BookDuke BISHOPS WAR This is a thriller not to be matched for intensity and breathless excitementnot for the fainthearted https
94,0.0,RT JenniferEstep Ebooks deals books sales ad epicfantasy fantasybooksEMPIRE OF SAND by Tasha Suri 499
95,0.6375,Good day everybodyI am a successful freelancer I AM EXPERTS CREATIVE tshirts DESIGNER I am making trendy custo
96,0.2,Microsoft is pushing forward with JEDI recruiting despite Amazons legal fight
97,0.1660894660894661,RT amazonmusic Singersongwriter CamilaCabello walked us through the recording of her new single Easy off her upcoming album Romanc
98,0.2,Heres whats happening with JEDI as Amazon puts up a legal fight w jordannovet
99,0.2,RT CNBC Microsoft is pushing forward with JEDI recruiting despite Amazons legal fight
100,0.0,RT LaurieAHolbrook Still Out There by Laurie HolbrookSixteen years ago Mabel Peters was left to die Now shes back and determined to f
101,0.0,RT maryebrewer ThursdayThoughtsLooking for ChristmasGiftIdeasfor the reader in your life Check out shawndadarice1 3 books on Am
102,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
103,0.23333333333333336,RT TGIA50 We all have physical limitations but theres no ceiling to our mental limitationsOrder on Amazon or my website great Holida
104,0.0,Heres whats NOW PLAYING on click to listen Well Baby Please Dont Go by John Lennon And
105,0.35,Say Youre Mine by Christa Wick is a fourbook boxset of steamy amp sweet standalonesAVAILABLE NOWAMAZON
106,0.0,AmazonHelp Im still waiting for guaranteed delivery by 1126 ordered 1124 126 ordered 124 and 1210 order
107,0.0,RT TatianaSiegel27 BOOM Amazon strikes mega deal for RihannaPeter Berg doc Exclusive via thr
108,0.4,RT 21stClub Changing the Conversation Volume III is now available to buy on AmazonA collection of boardroom insights from the team at
109,0.16818181818181818,50 NEW AMAZON Gift Card Ships FREAKY FAST Guaranteed by Paypal w NO Worries 72 Watch Count AMAZON
110,0.0,RT bellwareio Integrating SonarCloud with AWS CodePipeline using AWS CodeBuild
111,0.4375,RT CNN This is sweet Watch this Amazon delivery driver do a happy dance after a homeowner left out some snacks and a nice note https
112,-0.1875,Now playing disco pop rock music np I Say A Little Prayer by The Radios on Buy song
113,0.0,nowplaying Open Your Heart by Europe Support the station and the artists by following liking and retweeting np
114,0.0,Download now
115,0.0,NowPlaying Bill March Christmas Time Is Here Tune In Buy It
116,0.0,RTAmazngDeals A novel about sports and life truer than nonfiction
117,0.4000000000000001,RT NHSMillion Did you knowMatt Hancock has given huge amounts of NHS data to Amazon who can exploit it however they chooseAnd hes
118,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
119,0.2,Today Only This Amazon HyperX QuadCast Mic Bundle Basically Throws in an 89 Keyboard for Free
120,0.35,RT PennDusko puts on tin foil hatNobody really asks why Amazon and Google allow sophisticated pieces of equipment of to be sold for s
121,0.0,TeamGivingCom My daughters Christmas list
122,0.0,RT inkkedbruja in which you Send to give your offerings Cashapp LuxDivine Venmo Divinelux amazon gift cards seamagicagmai
123,0.0,SNEAKY SQUIRREL A fourlegged thief was caught on camera stealing an Amazon package from in front of a door A w
124,0.1,RT PhotonBooks How far would you go to find the truth The Verticon File SBrianWeimer conspiracy thriller Amazon conspiracythe
125,0.0,RT ScotCCAN They are violating our human rights This should be criminalThis 17yearold Indigenous activist from the Ecuadorian
126,0.6,RT MaggieGilewicz HELP PLEASE I am looking for kind humans who are into spiritualityselfhelp ie Byron Katie Deepak Berns
127,0.6833333333333333,Naturalhealing books to empower you to achieve exceptional levels of health and happiness
128,0.13,RT AstroJessica In one small portion of a SpaceStation pass last week I was fortunate enough to capture stunning views of the entiret
129,-0.2857142857142857,ChrisJCav davidmweissman AOC Bro AOC has been wrong or has lied about every single thing she has ever been invol
130,-0.35,RT jtatkinson666 A story of revenge A compelling pageturner A terrifying journey into the heart of darknessAmongst DemonsEbook 1
131,0.0,Support somali creatorsThe Miracle Boy and the Somali Gangs A Graphic Novelby Farah M MohamedSomali edition
132,0.3333333333333333,Love turned on her once Can Jake convince her to take another shot at it MORE THAN THIS Christian KU
133,0.6833333333333333,Naturalhealing books to empower you to achieve exceptional levels of health and happiness
134,0.0,paulcmaxwell ntwrightonline Agreed paulcmaxwell This book won me over a couple months ago when I worked through
135,0.0,GUDoug The ending teases Amazon women on the moon
136,0.0,RT StickerTricker LETSSSS GOOOOO PREORDERED BABY
137,5.551115123125783e-17,The book made me feel as though I was taking a journey with the author through his experiences good ones bad one
138,0.04999999999999999,RT cherrymischivus Rosalind is a witch with a secret Her oneofakind wedding cakes are bewitched with a love potion What happens when
139,0.0,Pearl Bea Cannon at pbeacannonBouchers World trilogy Emergent Transformations EncountersSciFi
140,0.0,RT TeamOfRihanna Amazon has landed worldwide rights to the Peter Bergdirected doc about Rihanna Sources say Amazon paid 25 million
141,0.0,RT SaraCarterDC America is on the verge of another Civil War Socialism is on the rise FreeSpeech is under assault People of Faith a
142,0.41111111111111115,The perfect holiday gift Thirty less than Amazon and available if ordered from publisher
143,0.0,RT MSFTIssues Lines of code run our digital world But what happens when they become weaponized BradSmi and Ca
144,0.0,TESTIMONIAL lt VivianZabel gt Every cover Aidana WillowRaven creates makes a book stand out The cover for my novel
145,0.0,RT THR Exclusive Sources say Amazon paid 25 million for the worldwide rights to a Peter Bergdirected doc about Rihanna
146,0.0714285714285714,RT StevenHandel Goals arent just about motivation but patience People want to see big wins right away but progress is often slow a
147,0.1875,STORM ISLAND A KATE POMEROY MYSTERYAn intense and intriguing puzzlea thrilling and suspenseful mystery nov
148,0.0,RT ThePopHub Amazon has landed worldwide rights to a Peter Berg directed documentary about Rihanna Sources say Amazon paid 25 MILLION f
